date,time,temp
2023-06-06,21:02:40,24.9
2023-06-06,21:12:04,24.6
2023-06-06,21:23:10,24.4
2023-06-06,21:38:33,24.0
2023-06-06,21:47:57,23.9
2023-06-06,21:58:12,23.8
2023-06-06,22:13:35,23.7
2023-06-06,22:23:50,23.6
2023-06-06,22:38:22,23.6
2023-06-06,22:48:37,23.5
2023-06-06,22:58:52,23.5
2023-06-06,23:14:15,23.4
2023-06-06,23:23:39,23.3
2023-06-06,23:39:02,22.9
2023-06-06,23:49:17,22.7
2023-06-07,00:04:40,22.4
2023-06-07,00:14:04,22.2
2023-06-07,00:24:19,22.0
2023-06-07,00:39:42,21.8
2023-06-07,00:54:14,21.5
2023-06-07,01:04:29,21.4
2023-06-07,01:14:44,21.4
2023-06-07,01:30:07,21.3
2023-06-07,01:40:22,21.2
2023-06-07,01:49:46,21.2
2023-06-07,02:05:09,21.2
2023-06-07,02:15:24,21.2
2023-06-07,02:29:56,21.1
2023-06-07,02:40:11,21.1
2023-06-07,03:05:50,20.9
2023-06-07,03:15:14,20.9
2023-06-07,03:30:37,20.9
2023-06-07,03:40:52,20.8
2023-06-07,03:56:15,20.6
2023-06-07,04:10:47,20.5
2023-06-07,04:21:02,20.4
2023-06-07,04:31:17,20.4
2023-06-07,04:37:16,20.4
2023-06-07,04:48:23,20.4
2023-06-07,04:57:47,20.4
2023-06-07,05:08:02,20.4
2023-06-07,05:18:17,20.5
2023-06-07,05:28:32,20.7
2023-06-07,05:37:56,20.9
2023-06-07,05:53:19,21.1
2023-06-07,06:03:34,21.3
2023-06-07,06:18:57,21.6
2023-06-07,06:28:21,21.9
2023-06-07,06:38:36,22.1
2023-06-07,06:53:59,22.4
2023-06-07,07:09:22,22.8
2023-06-07,07:18:46,23.1
2023-06-07,07:29:01,23.2
2023-06-07,07:44:24,23.5
2023-06-07,07:54:39,23.8
2023-06-07,08:04:03,24.0
2023-06-07,08:19:26,24.2
2023-06-07,08:34:49,24.7
2023-06-07,08:45:04,24.8
2023-06-07,08:54:28,25.0
2023-06-07,09:09:51,25.2
2023-06-07,09:20:06,25.4
2023-06-07,09:35:29,25.6
2023-06-07,09:44:53,25.6
2023-06-07,09:55:08,25.6
2023-06-07,10:10:31,25.5
2023-06-07,10:25:03,25.4
2023-06-07,10:35:18,25.3
2023-06-07,10:45:33,25.3
2023-06-07,11:00:56,25.6
2023-06-07,11:10:20,25.7
2023-06-07,11:20:35,25.9
2023-06-07,11:35:58,26.2
2023-06-07,11:51:21,25.8
2023-06-07,12:00:45,25.4
2023-06-07,12:11:00,25.4
2023-06-07,12:26:23,26.2
2023-06-07,12:36:38,26.7
2023-06-07,12:46:02,27.0
2023-06-07,13:01:25,27.5
2023-06-07,13:11:40,27.8
2023-06-07,13:21:04,28.0
2023-06-07,13:36:27,28.3
2023-06-07,13:51:50,28.5
2023-06-07,14:02:05,28.5
2023-06-07,14:11:29,28.6
2023-06-07,14:26:52,28.9
2023-06-07,14:37:07,29.0
2023-06-07,14:51:39,28.9
2023-06-07,15:07:01,28.9
2023-06-07,15:17:16,29.0
2023-06-07,15:27:31,29.3
2023-06-07,15:36:55,29.7
2023-06-07,15:52:18,30.2
2023-06-07,16:02:33,30.2
2023-06-07,16:17:56,30.1
2023-06-07,16:27:20,30.1
2023-06-07,16:37:35,29.9
2023-06-07,17:08:22,29.0
2023-06-07,17:17:46,28.7
2023-06-07,17:28:01,28.5
2023-06-07,17:43:24,28.2
2023-06-07,17:53:39,27.9
2023-06-07,18:03:03,27.7
2023-06-07,18:18:26,27.5
2023-06-07,18:28:41,27.4
2023-06-07,18:43:13,27.2
2023-06-07,18:53:28,27.0
2023-06-07,18:59:27,26.9
2023-06-07,19:09:42,26.8
2023-06-07,19:25:05,26.4
2023-06-07,19:35:20,26.2
2023-06-07,19:44:44,25.9
2023-06-07,20:00:07,25.6
2023-06-07,20:15:30,25.2
2023-06-07,20:25:45,24.9
2023-06-07,20:35:09,24.6
2023-06-07,20:50:32,24.3
